Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,256,18.70312,0.75461,5.91797,0.98633,0.35561,0.35561
1,256,17.05859,0.69560,5.60547,0.93424,0.32463,0.32463
2,256,17.64062,0.70629,5.87109,0.97852,0.37948,0.37948
3,256,16.30469,0.65639,5.50391,0.91732,0.28739,0.28739
4,256,16.13672,0.65864,5.33594,0.88932,0.29236,0.29236
5,256,16.39844,0.65954,5.47656,0.91276,0.34027,0.34027
6,256,16.41016,0.66251,5.58594,0.93099,0.26827,0.26827
7,256,16.77344,0.68115,5.50391,0.91732,0.34782,0.34782
8,256,16.20703,0.65514,5.47266,0.91211,0.28100,0.28100
9,256,16.30078,0.65883,5.47656,0.91276,0.34377,0.34377
10,256,16.23047,0.65485,5.37109,0.89518,0.31516,0.31516
11,256,16.03516,0.64809,5.33203,0.88867,0.30455,0.30455
12,256,15.87500,0.64355,5.29297,0.88216,0.30238,0.30238
13,256,15.96875,0.64176,5.44922,0.90820,0.32409,0.32409
14,256,15.93359,0.64348,5.47266,0.91211,0.32845,0.32845
15,256,15.75000,0.64163,5.33594,0.88932,0.31175,0.31175
16,256,15.88281,0.63571,5.26953,0.87826,0.30489,0.30489
17,256,14.77344,0.59813,5.19531,0.86589,0.31301,0.31301
18,256,14.21484,0.57799,5.01562,0.83594,0.31871,0.31871
19,256,13.93359,0.55673,4.64062,0.77344,0.34574,0.34574
20,256,13.12891,0.52971,4.44141,0.74023,0.36546,0.36546
21,256,13.30078,0.54237,4.48047,0.74674,0.35402,0.35402
22,256,12.94531,0.51830,4.24609,0.70768,0.39982,0.39982
23,256,12.32031,0.49599,4.11719,0.68620,0.40337,0.40337
24,256,12.26172,0.50048,4.12500,0.68750,0.39456,0.39456
25,256,11.35156,0.45656,3.88281,0.64714,0.42975,0.42975
26,256,11.03125,0.44536,3.83594,0.63932,0.43823,0.43823
27,256,11.07422,0.44971,3.87891,0.64648,0.43548,0.43548
28,256,11.19922,0.45271,3.83203,0.63867,0.44218,0.44218
29,256,10.96484,0.44316,3.76953,0.62826,0.45749,0.45749
30,256,9.91797,0.40016,3.66406,0.61068,0.46761,0.46761
31,256,10.21875,0.41301,3.63672,0.60612,0.47025,0.47025
32,256,10.59766,0.42961,3.75000,0.62500,0.45002,0.45002
33,256,10.19141,0.40958,3.57422,0.59570,0.46862,0.46862
34,256,9.73438,0.39312,3.50391,0.58398,0.48718,0.48718
35,256,9.18359,0.37412,3.33203,0.55534,0.51109,0.51109
36,256,8.95703,0.35851,3.25391,0.54232,0.52088,0.52088
37,256,10.08594,0.40835,3.48438,0.58073,0.47765,0.47765
38,256,9.46094,0.38469,3.29688,0.54948,0.50144,0.50144
39,256,8.96875,0.35836,3.29297,0.54883,0.51192,0.51192
40,256,9.18750,0.37069,3.28125,0.54687,0.51176,0.51176
41,256,8.64844,0.35266,3.12109,0.52018,0.53200,0.53200
42,256,9.36719,0.37504,3.31641,0.55273,0.50547,0.50547
43,256,9.36719,0.37710,3.32031,0.55339,0.51763,0.51763
44,256,8.40234,0.34295,3.12891,0.52148,0.53139,0.53139
45,256,9.37109,0.37690,3.30859,0.55143,0.50095,0.50095
46,256,8.43750,0.34064,3.05469,0.50911,0.54385,0.54385
47,256,9.44922,0.38372,3.35156,0.55859,0.49692,0.49692
48,256,8.71875,0.35244,3.11328,0.51888,0.53857,0.53857
49,256,8.04297,0.32507,2.98047,0.49674,0.56473,0.56473
